,Number,Title,Overview,Genres
18,19,No Exit,strand rest stop mountains blizzard recover addict discover kidnap child hide car belong one people inside build set terrify struggle identify among kidnapper,Horror
19,20,Venom: Let There Be Carnage,find host body investigative reporter eddie brock alien symbiote must face new enemy carnage alter ego serial killer cletus kasady,Science Fiction
20,21,The Ice Age Adventures of Buck Wild,fearless one eye weasel buck team mischievous possum brothers crash eddie head new adventure buck home dinosaur world,Animation
21,22,Sonic the Hedgehog,power incredible speed sonic hedgehog embrace new home earth sonic spark attention super uncool evil genius dr robotnik super villain vs super sonic race across globe stop robotnik use sonic unique power world domination,Action
22,23,My Hero Academia: World Heroes' Mission,mysterious group call humarize strongly believe quirk singularity doomsday theory state quirk get mix future generations power bring forth end humanity order save everyone pro heroes around world ask ua academy heroes train assist form world classic select hero team heroes save world future heroes dangerous crisis take place yet hero academia,Animation
23,24,Gold,distant future two drifters travel desert stumble across biggest gold nugget ever find dream immense wealth greed take hold hatch plan excavate bounty one man leave secure necessary tool remain gold man remain must endure harsh desert elements ravenous wild dog mysterious intruders battle sink suspicion abandon fate,Thriller
24,25,Fantastic Beasts: The Secrets of Dumbledore,professor albus dumbledore know powerful dark wizard gellert grindelwald move seize control wizarding world unable stop alone entrust magizoologist newt scamander lead intrepid team wizards witch soon encounter array old new beasts clash grindelwald grow legion followers,Fantasy
25,26,Virus:32,virus unleash chill massacre run streets montevideo,Horror
26,27,Sing 2,buster new cast sight set debut new show crystal tower theater glamorous redshore city connections singers must sneak crystal entertainment offices run ruthless wolf mogul jimmy crystal gang pitch ridiculous idea cast lion rock legend clay calloway show buster must embark quest find isolate clay persuade return stage,Animation
27,28,Bull Shark,hungry shark begin feed unsuspecting lake goers small texas town,Horror
28,29,The In Between,survive car accident take life boyfriend teenage girl believe attempt reconnect world,Romance
29,30,Eternals,eternals team ancient alien live earth secret thousands years unexpected tragedy force shadow force reunite mankind ancient enemy deviants,Science Fiction
30,31,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,kamado join inosuke hashibira boy raise boars wear boar head zenitsu agatsuma scar boy reveal true power sleep board infinity train new mission fire hashira rengoku defeat demon torment people kill demon slayers oppose,Animation
31,32,Restless,go extremes cover accident corrupt cop life spiral control start receive threats mysterious witness,Drama
32,33,Ambulance,decorate veteran sharp desperate money cover wife medical bill ask help adoptive brother danny charismatic career criminal danny instead offer score biggest bank heist los angeles history million,Action
33,34,Doctor Strange in the Multiverse of Madness,doctor strange help mystical ally old new traverse mind bend dangerous alternate realities multiverse confront mysterious new adversary,Fantasy
34,35,Morbius,dangerously ill rare blood disorder determine save others suffer fate dr michael morbius attempt desperate gamble first appear radical success soon reveal remedy potentially worse disease,Action
35,36,Sonic the Hedgehog 3,third film sonic hedgehog franchise,Action
36,37,The Requin,couple romantic getaway find strand sea tropical storm sweep away villa order survive force fight elements shark circle,Thriller
37,38,The Jack in the Box: Awakening,vintage jack box open die woman enter deal demon within would see illness cure return help claim six innocent victims,Horror
38,39,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow work way blood debt ghostly davy jones avoid eternal damnation,Adventure
39,40,Last Man Down,civilization succumb deadly pandemic wife murder special force soldier abandon duty become hermit nordic wilderness years later wound woman appear doorstep escape lab pursuers believe blood key worldwide cure hesitant get involve doubt cast aside discover pursuer none commander stone man murder wife years ago,Action
40,41,Desperate Riders,kansas red rescue young billy card game shootout boy ask red help protect family outlaw thorn kidnap billy mother carol red billy ride rescue carol run beautiful tough nail leslie manage escape thorn men three race stop thorn wed carol gun blaze want rescue,Western
41,42,The King's Man,collection history worst tyrants criminal mastermind gather plot war wipe millions one man must race time stop,Action
42,43,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow cross paths woman past sure love ruthless con artist use find fabled fountain youth force aboard queen anne revenge ship formidable pirate blackbeard jack find unexpected adventure know fear blackbeard woman past,Adventure
43,44,Resident Evil: Welcome to Raccoon City,boom home pharmaceutical giant umbrella corporation raccoon city die midwestern town company exodus leave city wasteland great evil brew surface evil unleash townspeople forever change small group survivors must work together uncover truth behind umbrella make night,Horror
44,45,Ghostbusters: Afterlife,single mom two kid arrive small town begin discover connection original ghostbusters secret legacy grandfather leave behind,Fantasy
45,46,Pirates of the Caribbean: The Curse of the Black Pearl,jack sparrow freewheel century pirate quarrel rival pirate bend pillage port royal governor daughter kidnap sparrow decide help girl love save,Adventure
46,47,The Boss Baby: Family Business,templeton brothers tim boss baby little bro ted become adults drift away new boss baby cut edge approach attitude bring together inspire new family business,Animation
47,48,Shang-Chi and the Legend of the Ten Rings,shang chi must confront past think leave behind draw web mysterious ten ring organization,Action
48,49,The Northman,prince amleth verge become man father brutally murder uncle kidnap boy mother two decades later amleth viking mission save mother kill uncle avenge father,Drama
49,50,Pirates of the Caribbean: At World's End,captain barbossa long believe dead come back life head edge earth turner elizabeth swann nothing quite seem,Adventure
50,51,The Bad Guys,infamous bad guy finally catch years countless heist world want villains mr wolf broker deal save prison,Animation
51,52,Scream,twenty five years streak brutal murder shock quiet town woodsboro new killer don ghostface mask begin target group teenagers resurrect secrets town deadly past,Horror
52,53,The Commando,elite dea agent return home fail mission family make unexpected discovery house stash money worth million soon face danger threat newly release criminal crew whatever take retrieve money include kidnap agent daughters stake high live risk head head battle agent stop nothing protect family money hungry criminals,Action
53,54,Kimi,tech worker agoraphobia discover record evidence violent crime meet resistance try report seek justice must thing fear must leave apartment,Thriller
54,55,Metal Lords,teenage misfits hunter kevin path glory clear devote metal win battle band worship like gods,Comedy
55,56,Clifford the Big Red Dog,emily struggle fit home school discover small red puppy destine become best friend clifford magically undergo one heck growth spurt become gigantic dog attract attention genetics company emily uncle casey fight force greed go run across new york city along way clifford affect live everyone around teach emily uncle true mean acceptance unconditional love,Family
56,57,The Matrix Resurrections,plague strange memories neo life take unexpected turn find back inside matrix,Science Fiction
57,58,The Seven Deadly Sins: Cursed by Light,help dragon sin wrath meliodas worst rebel history seven deadly sin holy war four race include humans goddesses fairies giants fight demons finally cost lion sin pride escanor life demon king defeat world regain peace sin take path,Animation
58,59,Jackass Forever,celebrate joy perfectly execute shoot groin johnny knoxville steve rest gang return alongside newcomers one final round hilarious wildly absurd often dangerous display stunt comedy,Comedy
59,60,PAW Patrol: The Movie,ryder pup call adventure city stop mayor humdinger turn bustle metropolis state chaos,Animation
60,61,Fistful of Vengeance,revenge mission become fight save world ancient threat superpowered assassin kai track killer bangkok,Action
61,62,Nightmare Alley,ambitious carnival man talent manipulate people well choose word hook female psychiatrist even dangerous,Crime
62,63,Tom and Jerry: Cowboy Up!,time rival team help cowgirl brother save homestead greedy land grabber go need help jerry three precocious nephews ready action tom round posse prairie dog ragtag band varmints defeat deceitful desperado determine deceive damsel distress matter happen tom jerry saddle rootin tootin good time,Animation
63,64,The House,across different eras poor family anxious developer feed landlady become tie mysterious house animate dark comedy,Animation
64,65,Texas Chainsaw Massacre,sequel influencers look breathe new life texas ghost town encounter leatherface infamous killer wear mask human skin,Horror
65,66,Doctor Strange,career destroy brilliant arrogant surgeon get new lease life sorcerer take wing train defend world evil,Action
66,67,Through My Window,raquel longtime crush next door neighbor turn something start develop feel despite family objections,Romance
67,68,The Help,aibileen clark middle age african american maid spend life raise white children recently lose son minny jackson african american maid often offend employers despite family struggle money desperate need job eugenia skeeter phelan young white woman recently move back home graduate college find childhood maid mysteriously disappear three stories intertwine explain life jackson mississippi revolve around help yet always keep certain distance racial line,Drama
68,69,Looop Lapeta,boyfriend lose mobster cash savi race clock save day break curious cycle dead end,Action
69,70,Red Notice,interpol issue red notice global alert hunt capture world want dare heist bring together fbi top profiler two rival criminals tell happen,Action
70,71,The Simpsons in Plusaversary,simpsons host disney day party everyone list except homer friends across service music fit disney princess plusaversary springfield event year,Animation
71,72,The Bubble,sneak hook melt cast crew blockbuster action franchise attempt shoot sequel quarantine posh hotel,Comedy
72,73,Pursuit,detective breslin cross paths calloway ruthless hacker desperate find wife kidnap drug cartel calloway escape police custody breslin join force nonsense female cop reclaim prisoner calloway crime boss father somehow involve explosive situation,Action
73,74,Dancing on Glass,immense pressure threaten ballerina new lead role another dancer escape friendship isolate real world,Drama
74,75,Ron's Gone Wrong,world walk talk digitally connect bots become children best friends year old find robot buddy quite work others,Animation
75,76,The Lost City,follow reclusive romance novelist sure nothing could worse get stick book tour cover model kidnap attempt sweep cutthroat jungle adventure prove life much stranger romantic paperback fictions,Action
76,77,American Siege,ex nypd officer turn sheriff small rural georgia town contend gang thieve take wealthy doctor hostage,Action
77,78,Run Gun,leave life crime violence ray reform good guy enjoy quiet family life burbs past discover ray blackmail one last job collect mysterious package deadly double cross find wound run ruthless assassins stop nothing get live love ones hang balance danger every turn ray hope draw upon violent past survive,Action
78,79,Mortal Kombat,wash mma fighter cole young unaware heritage hunt emperor shang tsung best warrior sub zero seek train earth greatest champion prepare stand enemies outworld high stake battle universe,Action
79,80,Pirates of the Caribbean: Dead Men Tell No Tales,thrust new adventure luck capt jack sparrow feel wind ill fortune blow even strongly deadly ghost sailors lead old nemesis evil capt salazar escape devil triangle jack hope survival lie seek legendary trident poseidon find must forge uneasy alliance brilliant beautiful astronomer headstrong young man british navy,Adventure
80,81,Luca,luca best friend alberto experience unforgettable summer italian riviera fun threaten deeply hold secret sea monsters another world water surface,Animation
81,82,The 355,group top female agents american british chinese columbian german government agencies draw together try stop organization acquire deadly weapon send world chaos,Action
82,83,Death on the Nile,belgian sleuth hercule poirot board glamorous river steamer enough champagne fill nile egyptian vacation turn thrill search murderer picture perfect couple idyllic honeymoon tragically cut short,Crime
83,84,Avengers: Infinity War,avengers ally continue protect world threats large one hero handle new danger emerge cosmic shadow thanos despot intergalactic infamy goal collect six infinity stone artifacts unimaginable power use inflict twist reality everything avengers fight lead moment fate earth existence never uncertain,Adventure
84,85,Cruella,london amidst punk rock revolution young grifter name estella determine make name design befriend pair young thieve appreciate appetite mischief together able build life london streets one day estella flair fashion catch eye baroness von hellman fashion legend devastatingly chic terrifyingly haute relationship set motion course events revelations cause estella embrace wicked side become raucous fashionable revenge bend cruella,Comedy
85,86,Free Guy,bank teller call guy realize background character open world video game call free city soon go offline,Comedy
86,87,Fate/Grand Order Final Singularity ??Grand Temple of Time: Solomon,chaldea organization must deal grand temple solomon king magic come destroy world,Animation
87,88,Chernobyl: Abyss,aftermath shock explosion chernobyl nuclear power station make hundreds people sacrifice live clean site catastrophe successfully prevent even bigger disaster could turn large part european continent uninhabitable exclusion zone story,Drama
88,89,Sex Appeal,avery teenager tendency towards perfectionism enlist friend larson help prepare first time long distance boyfriend,Comedy
89,90,Echoes of a Crime,lemar best sell suspense writer go vacation family cabin woods strong storm power go woman show desperately ask help husband kill son want kill moment danger deception constant threat hellish night begin discover truth,Thriller
90,91,Queen of Spades,accord legend ominous entity know queen spade summon perform ancient ritual four teenagers summon queen spade could never imagine horrors await,Horror
91,92,Diary of a Wimpy Kid,greg heffley scrawny ambitious kid active imagination big plan rich famous survive middle school first,Animation
92,93,Deep Water,vic melinda van allen couple small town little wesley loveless marriage hold together precarious arrangement whereby order avoid messiness divorce melinda allow take number lovers long desert family,Drama
93,94,Dune,paul atreides brilliant gift young man bear great destiny beyond understand must travel dangerous planet universe ensure future family people malevolent force explode conflict planet exclusive supply precious resource existence commodity capable unlock humanity greatest potential conquer fear survive,Science Fiction
94,95,The Suicide Squad,supervillains harley quinn bloodsport peacemaker collection nutty con belle reve prison join super secret super shady task force drop remote enemy infuse island corto maltese,Action
95,96,The Hunting,mysterious animal attack leave mutilate body forest conservative small town detective must enlist help eager wildlife specialist uncover dark disturb truth threaten town,Horror
96,97,Jujutsu Kaisen 0,yuta okkotsu nervous high school student suffer serious problem childhood friend rika turn curse leave alone since rika ordinary curse plight notice satoru gojo teacher jujutsu high school fledgling exorcists learn combat curse gojo convince yuta enroll learn enough time confront curse haunt,Animation
97,98,Marry Me,music superstars kat valdez bastian get marry global audience fan kat learn second vow bastian unfaithful decide marry charlie stranger crowd instead,Romance
98,99,After We Fell,tessa life begin become unglued nothing think would friends family person able rely hardin furious discover massive secret keep tessa make biggest decision life everything change revelations family,Romance
99,100,Avatar,century paraplegic marine dispatch moon pandora unique mission become tear follow order protect alien civilization,Action
100,101,Forever Out of My League,marta may orphan may affect lethal illness yet positive person one meet want boy fall boy handsome one day may find match,Romance
101,102,All Hail,famous tv weatherman miguel flores become public enemy number one fail predict terrible hailstorm force big city buenos air flee capital birthplace result voyage rediscovery absurd human,Action
102,103,Battle: Freestyle,amalie mikael lead street dance team finals france tough competition personal distractions threaten ruin dream,Romance
103,104,One Shot,elite squad navy seal covert mission transport prisoner cia black site island prison trap insurgents attack try rescue prisoner,Action
104,105,The Lovely Bones,brutally murder year old susie salmon watch heaven grief stricken family killer observe daily live must balance thirst revenge desire family heal,Fantasy
105,106,F9,dominic toretto crew battle skilled assassin high performance driver ever encounter forsake brother,Action
106,107,365 Days,woman fall victim dominant mafia boss imprison give one year fall love,Romance
107,108,The Last Warrior: Root of Evil,peace tranquility set belogorie evil defeat ivan enjoy well deserve fame surround family friends small wonder modern world help lead comfortable life luckily magic sword cut gap worlds get supply quite regularly ancient evil rise existence magic world put danger ivan team old friends new rival set long journey beyond know world find way defeat enemies return peace belogorie,Fantasy
108,109,Brazen,mystery writer grace miller killer instincts come motive need every bite expertise help solve sister murder,Thriller
109,110,Back to the Outback,tire lock reptile house humans gawk like monsters ragtag group australia deadliest creatures plot escape zoo outback place fit without judge,Animation
110,111,Godzilla vs. Kong,time monsters walk earth humanity fight future set godzilla kong collision course see two powerful force nature planet collide spectacular battle age,Action
111,112,Space Jam: A New Legacy,lebron young son dom trap digital space rogue lebron must get home safe lead bug lola bunny whole gang notoriously undisciplined looney tune victory digitize champion court tune versus goons highest stake challenge life,Family
112,113,Antlers,small town oregon teacher brother local sheriff discover young student harbour dangerous secret could frighten consequences,Drama
113,114,No Time to Die,bond leave active service enjoy tranquil life jamaica peace short live old friend felix leiter cia turn ask help mission rescue kidnap scientist turn far treacherous expect lead bond onto trail mysterious villain arm dangerous new technology,Adventure
114,115,Two,two people man woman wake naked abdomens attach,Horror
115,116,Zack Snyder's Justice League,determine ensure superman ultimate sacrifice vain bruce wayne align force diana prince plan recruit team metahumans protect world approach threat catastrophic proportion,Action
116,117,The Weekend Away,best friend vanish girls trip croatia beth race figure happen clue yield another unsettle deception,Thriller
117,118,Save The Trees,forest pyrenees still people tell stories tree fantastic be power beyond imagination tree moment seed sprout pixie become inseparable companion,Animation
118,119,Dragon Ball Z: Resurrection 'F',one peaceful day earth two remnants frieza army name sorbet tagoma arrive search dragon ball aim revive frieza succeed frieza subsequently seek revenge saiyans,Action
119,120,Jungle Cruise,dr lily houghton enlist aid wisecrack skipper frank wolff take amazon dilapidate boat together search ancient tree hold power heal discovery change future medicine,Action
120,121,Deathstroke: Knights & Dragons - The Movie,assassin deathstroke try save family wrath murderous jackal,Animation
121,122,The Addams Family 2,addams get tangle wacky adventure find involve hilarious run ins sort unsuspecting character,Animation
122,123,Mother/Android,georgia boyfriend sam go treacherous journey escape country catch unexpected war artificial intelligence days away arrival first child couple must face man land stronghold android uprise hop reach safety give birth,Science Fiction
123,124,Jurassic World Dominion,four years isla nublar destroy dinosaurs live hunt alongside humans world fragile balance reshape future determine whether human be remain apex predators planet share history fearsome creatures,Adventure
124,125,Better Nate Than Ever,year old nate foster big broadway dream one problem even land part school play parent leave town nate best friend libby sneak big apple lifetime opportunity prove everyone wrong chance encounter nate long lose aunt heidi turn journey upside together must learn life greatest adventure big dream,Music
125,126,Cheaper by the Dozen,remake beloved classic follow raucous exploit blend family bakers navigate hectic home life simultaneously manage family business,Family
126,127,Riverdance: The Animated Adventure,young irish boy name keegan spanish girl name moya journey magical world megaloceros giganteus teach appreciate riverdance celebration life base stage show phenomenon name feature bill whelan multi platinum grammy award win music,Animation
127,128,Raya and the Last Dragon,long ago fantasy world kumandra humans dragons live together harmony evil force threaten land dragons sacrifice save humanity years later evil return lone warrior raya track legendary last dragon restore fracture land divide people,Animation
128,129,Coraline,coraline move old house feel bore neglect parent find hide door bricked passage night cross passage find parallel world everybody button instead eye care parent dream come true mother invite coraline stay world forever girl refuse find alternate reality trap trick lure,Animation
129,130,Old,group families tropical holiday discover seclude beach stay somehow cause age rapidly reduce entire live single day,Thriller
130,131,Fantastic Beasts and Where to Find Them,newt scamander arrive magical congress unite state america magically expand briefcase house number dangerous creatures habitats creatures escape briefcase send american wizarding authorities newt threaten strain even state magical non magical relations,Adventure
131,132,The Avengers,unexpected enemy emerge threaten global safety security nick fury director international peacekeeping agency know find need team pull world back brink disaster span globe dare recruitment effort begin,Science Fiction
132,133,AI Love You,modern love story set near future ai build power human feel due software glitch fall love real girl escape build body real man try win affections,Comedy
133,134,Miraculous World: Shanghai ??The Legend of Ladydragon,school break marinette head shanghai meet adrien arrive marinette lose stuff include miraculous allow turn ladybug,Animation
134,135,Paranormal Activity: Next of Kin,margot documentary filmmaker head seclude amish community hop learn long lose mother extend family follow string strange occurrences discoveries come realize community may seem,Horror
135,136,The Croods: A New Age,search safer habitat prehistoric crood family discover idyllic wall paradise meet need unfortunately must also learn live bettermans family couple step croods evolutionary ladder tensions new neighbor start rise new threat soon propel clans epic adventure force embrace differences draw strength one another survive together,Animation
136,137,Black Widow,natasha romanoff also know black widow confront darker part ledger dangerous conspiracy tie past arise pursue force stop nothing bring natasha must deal history spy break relationships leave wake long become avenger,Action
137,138,"Miraculous World: New York, United HeroeZ",school field trip ladybug cat noir meet american superheroes save akumatised super villain discover miraculous exist unite state,Animation
138,139,Dragon Ball Super: Super Hero,red ribbon army evil organization destroy goku past reform group people create new mightier androids gamma gamma seek vengeance goku family,Animation
139,140,Curious George: Cape Ahoy,help local fisherman niece adorable baby seal george embark quest search long lose shipwreck legendary sea captain trumpet tooter,Animation
140,141,Infinite,evan mccauley skills never learn memories place never visit self medicate brink mental breakdown secret group call infinites come rescue reveal memories real,Science Fiction
141,142,Finch,post apocalyptic earth robot build protect life die creator beloved dog learn life love friendship mean human,Science Fiction
142,143,Without Saying Goodbye,opposite live workaholic architect fiery artist upend chance encounter breathtaking peru shift view life,Comedy
143,144,Dark Spell,terror strike heartbroken woman use black magic get husband back,Romance
144,145,Mobile Suit Gundam Hathaway,char rebellion hathaway noa lead insurgency earth federation meet enemy officer mysterious woman alter fate,Animation
145,146,S.O.S. Mamis: La pelicula,trini daughter sad best friend leave saint michael school since mother keep pay trini promise daughter happen decide put together plan mamis group solve problem mission much difficult think stick together group,Comedy
146,147,Ciao Alberto,best friend luca away school alberto enjoy new life portorosso work alongside massimo impose tattoo one arm fisherman word quite possibly coolest human entire world far alberto concern want anything impress mentor easier say do,Animation
147,148,The Conjuring: The Devil Made Me Do It,paranormal investigators ed lorraine warren encounter would become one sensational case file fight soul young boy take beyond anything ever see mark first time history murder suspect would claim demonic possession defense,Horror
148,149,Avengers: Endgame,devastate events avengers infinity war universe ruin due efforts mad titan thanos help remain ally avengers must assemble order undo thanos action restore order universe matter consequences may store,Adventure
149,150,Harry Potter and the Philosopher's Stone,harry potter live stairs aunt uncle house whole life birthday learn powerful wizard place wait hogwarts school witchcraft wizardry learn harness newfound power help school kindly headmaster harry uncover truth parent deaths villain blame,Adventure
150,151,The Amazing Spider-Man,peter parker outcast high schooler abandon parent boy leave raise uncle ben aunt may like teenagers peter try figure get person today peter discover mysterious briefcase belong father begin quest understand parent disappearance lead directly oscorp lab dr curt connors father former partner spider man set collision course connors alter ego lizard peter make life alter choices use power shape destiny become hero,Action
151,152,Jurassic World,twenty two years events jurassic park isla nublar feature fully function dinosaur theme park jurassic world originally envision john hammond,Action
152,153,Far From the Tree,idyllic beach pacific northwest curiosity get better young raccoon whose frustrate parent attempt keep safe,Animation
153,154,Seal Team,best friend kill shark attack quinn lovable yet tenacious seal assemble seal team fight back gang shark overtake neighborhood merry band international seal train mission seek help much skillful combatant claggart even trick flip whip guy shape however little bite ingenuity intelligence lot heart seal team may actually able bring peace back undersea community,Animation
154,155,Meander,get car ride unknown man lisa wake tube arm strap bracelet countdown quickly understand every minutes fire burn occupy section choice crawl safe section survive know get lisa face memories dead daughter,Horror
155,156,The Tomorrow War,world stun group time travelers arrive year deliver urgent message thirty years future mankind lose global war deadly alien species hope survival soldier civilians present transport future join fight among recruit high school teacher family man dan forester determine save world young daughter dan team brilliant scientist estrange father desperate quest rewrite fate planet,Action
156,157,The Unholy,alice young hear impair girl suppose visitation virgin mary inexplicably able hear speak heal sick word spread people near far flock witness miracles disgrace journalist hop revive career visit small new england town investigate terrify events begin happen around start question phenomena work virgin mary something much sinister,Horror
157,158,The Exorcism of God,american priest work mexico consider saint many local parishioners however due botch exorcism carry secret eat alive get opportunity face demon one final time,Horror
158,159,West Side Story,two youngsters rival new york city gang fall love tensions respective friends build toward tragedy,Drama
159,160,Moonshot,future mar terraformed colonize best humanity offer two different college students wind join force sneak onboard space shuttle red planet order unite significant others,Comedy
160,161,The Last: Naruto the Movie,two years events fourth great ninja war moon hagoromo otsutsuki create long ago seal away gedo statue begin descend towards world threaten become meteor would destroy everything impact amidst crisis direct descendant kaguya otsutsuki name toneri otsutsuki attempt kidnap hinata hyuga end abduct younger sister hanabi naruto ally mount rescue mission find embroil final battle decide fate everything,Action
161,162,The Pirates: The Last Royal Treasure,gutsy crew joseon pirate bandits battle stormy water puzzle clue militant rival search royal gold lose sea,Action
162,163,365 Days,film track hasty marriage first days,Romance
163,164,Wrath of Man,cold mysterious new security guard los angeles cash truck company surprise co workers unleash precision skills heist crew leave wonder come soon marksman ultimate motive become clear take dramatic irrevocable step settle score,Action
164,165,Ripper Untold,detective medical examiner join force solve series horrific murder victorian london one harbor deadly secret,Horror
165,166,Don't Breathe 2,blind man hide several years isolate cabin take raise young girl orphan devastate house fire quiet life together shatter group criminals kidnap girl force blind man leave safe save,Thriller
166,167,Naruto Shippuden the Movie,demons almost destroy world revive someone prevent world destroy demon seal one shrine maiden shion country demons two power one seal demons predict deaths humans time naruto mission guard shion predict naruto death way escape get away shion would leave unguarded demon whose goal kill shion thus mean end world naruto decide challenge prediction death,Animation
167,168,Pokemon Detective Pikachu,world people collect pocket size monsters battle boy come across intelligent monster seek detective,Action
168,169,Fortress,story revolve around top secret resort retire intelligence officer group criminals lead balzary breach compound hellbent revenge robert force retire officer son save day,Crime
169,170,Tarumama,sara couple go marital crisis decide spend week remote country cabin two children alicia family try quiet time something strange happen woman prowl forest cry uncontrollably look baby lose deeply affect family stay together survive nightmare,Horror
170,171,The Wonderful Winter of Mickey Mouse,wonder winter season take mickey mouse friends journey three magical stories,Animation
171,172,Fantastic Beasts: The Crimes of Grindelwald,gellert grindelwald escape imprisonment begin gather followers cause elevate wizards non magical be one capable put stop wizard call closest friend albus dumbledore however dumbledore need seek help wizard thwart grindelwald former student newt scamander agree help unaware dangers lie ahead line draw love loyalty test even among truest friends family increasingly divide wizarding world,Adventure
172,173,The Last Duel,king charles vi declare knight jean de carrouges settle dispute squire jacques le gris challenge duel,Action
173,174,Dangerous,reform sociopath head remote island death brother soon arrival island fall siege deadly gang mercenaries discover role brother demise set relentless quest vengeance,Action
174,175,Harry Potter and the Chamber of Secrets,cars fly tree fight back mysterious house elf come warn harry potter start second year hogwarts adventure danger await bloody write wall announce chamber secrets open save hogwarts require harry ron hermione magical abilities courage,Adventure
175,176,Dragon Fury,group soldier take mountains wales investigate strange look monster,Horror
176,177,The Maze Runner,set post apocalyptic world young thomas deposit community boys memory erase soon learn trap maze require join force fellow runners shoot escape,Action
177,178,A Quiet Place Part II,follow events home abbott family face terrors outside world force venture unknown realize creatures hunt sound threats lurk beyond sand path,Science Fiction
178,179,The Whole Truth,two siblings stumble strange hole wall grandparents house horrify incidents reveal sinister secrets family,Drama
179,180,Zeros and Ones,call rome stop imminent terrorist bomb soldier desperately seek news imprison brother rebel knowledge could thwart attack navigate capital darken streets race series ominous encounter keep vatican blow bits,Thriller
180,181,Separation,young girl find solace artist father ghost dead mother,Horror
181,182,Harry Potter and the Goblet of Fire,harry potter name emerge goblet fire become competitor grueling battle glory among three wizarding school triwizard tournament since harry never submit name tournament harry must confront deadly dragon fierce water demons enchant maze find cruel grasp must name,Adventure
182,183,¿Y cómo es el?,thomas meek man verge nervous breakdown despite situation decide fake work trip go vallarta confront jero taxi driver sleep wife,Comedy
183,184,My Hero Academia: Heroes Rising,class visit nabu island finally get real hero work place peaceful like vacation attack villain unfathomable quirk power eerily familiar look like shigaraki hand plan might retire citizens live line time question deku friends next generation heroes island hope,Animation
184,185,The Novice,college freshman join university row team undertake obsessive physical psychological journey make top varsity boat matter cost,Drama
185,186,Snake Eyes: G.I. Joe Origins,save life heir apparent tenacious loner snake eye welcome ancient japanese clan call arashikage teach ways ninja warrior secrets past reveal snake eye honor allegiance test even mean lose trust closest,Action
186,187,Trolls Holiday in Harmony,queen poppy plan first annual troll kingdom secret holiday gift swap things go quite expect,Animation
187,188,Erax,monstrous creatures leap magical storybook unleash mayhem mischief auntie opal tween niece nina spooky short film,Mystery
188,189,After Ever Happy,fourth installment universe shock truth couple families emerge two lovers discover different tessa longer sweet simple good girl meet hardin cruel moody boy fell hard,Romance
189,190,Un Rabón Con Corazón,,Comedy
