Number,Title,Overview,Genres
30,Mission: Impossible - Fallout,imf mission end badly world face dire consequences ethan hunt take upon fulfill original brief cia begin question loyalty motives imf team find race time hunt assassins try prevent global catastrophe,Action
31,Murder Mystery,attend gather billionaire yacht european vacation new york cop wife become prime suspect murder,Comedy
32,Bohemian Rhapsody,singer freddie mercury guitarist brian may drummer roger taylor bass guitarist john deacon take music world storm form rock roll band queen hit songs become instant classics mercury increasingly wild lifestyle start spiral control queen soon face greatest challenge yet find way keep band together amid success excess,Drama
33,Aquaman,home advance civilization earth atlantis underwater kingdom rule power hungry king orm vast army disposal orm plan conquer remain oceanic people surface world stand way arthur curry orm half human half atlantean brother true heir throne,Action
34,Bumblebee,run year bumblebee find refuge junkyard small californian beach town charlie cusp turn try find place world discover bumblebee battle scar break charlie revive quickly learn ordinary yellow vw bug,Action
35,Brightburn,child another world crash land earth instead become hero mankind prove something far sinister,Horror
36,Guardians of the Galaxy,light years earth years abduct peter quill find prime target manhunt discover orb want ronan accuser,Action
37,A Star Is Born,season musician jackson maine discover fall love struggle artist ally give dream make big singer jack coax spotlight even ally career take personal side relationship break jack fight ongoing battle internal demons,Drama
38,Little,woman receive chance relive life younger self point life pressure adulthood become much bear,Comedy
39,The Hobbit: The Battle of the Five Armies,immediately events desolation smaug bilbo dwarves try defend erebor mountain treasure others claim men ruin laketown elves mirkwood meanwhile army orcs lead azog defiler march erebor fuel rise dark lord sauron dwarves elves men must unite hope middle earth fall bilbo hand,Action
40,Spider-Man: Homecoming,follow events captain america civil war peter parker help mentor tony stark try balance life ordinary high school student queen new york city fight crime superhero alter ego spider man new threat vulture emerge,Action
41,Pirates of the Caribbean: The Curse of the Black Pearl,jack sparrow freewheel century pirate quarrel rival pirate bend pillage port royal governor daughter kidnap sparrow decide help girl love save,Adventure
42,The Wolf's Call,near future french submarine find crisis situation,Thriller
43,Jurassic World: Fallen Kingdom,three years demise jurassic world volcanic eruption threaten remain dinosaurs isla nublar claire dearing former park manager recruit owen grady help prevent extinction dinosaurs,Action
44,Fate/Stay Night: Heaven  Feel II. Lost Butterfly,theatrical release adaptation visual novel fate stay night follow third final route part trilogy,Animation
45,Killers Anonymous,fail attempt murder senator connect group meet secretly discuss darkest urge take live,Action
46,Black Panther,king challa return home america reclusive technologically advance african nation wakanda serve country new leader however challa soon find challenge throne factions within country well without use power reserve wakandan kings challa assume black panther mantel join girlfriend nakia queen mother princess kid sister members dora milaje wakandan special force american secret agent prevent wakanda drag world war,Action
47,Terminator Genisys,year john connor leader resistance continue war machine los angeles offensive john fear unknown future begin emerge tecom spy reveal new plot skynet attack front past future ultimately change warfare forever,Science Fiction
48,Us,husband wife gabe adelaide wilson take kid beach house expect unplug unwind friends night descend serenity turn tension chaos shock visitors arrive uninvited,Thriller
49,Deadpool 2,wisecrack mercenary deadpool battle evil powerful cable bad guy save boy life,Action
50,Ant-Man and the Wasp,time house arrest end scott lang put freedom risk help hope van dyne dr hank pym dive quantum realm try accomplish time chance success dangerous rescue mission,Action
51,The Avengers,unexpected enemy emerge threaten global safety security nick fury director international peacekeeping agency know find need team pull world back brink disaster span globe dare recruitment effort begin,Science Fiction
52,Fantastic Beasts: The Crimes of Grindelwald,gellert grindelwald escape imprisonment begin gather followers causeelevating wizards non magical be one capable put stop wizard call closest friend albus dumbledore however dumbledore need seek help wizard thwart grindelwald former student newt scamander agree help unaware dangers lie ahead line draw love loyalty test even among truest friends family increasingly divide wizarding world,Adventure
53,The Lord of the Rings: The Fellowship of the Ring,young hobbit frodo baggins inherit mysterious ring uncle bilbo must leave home order keep fall hand evil creator along way fellowship form protect ringbearer make sure ring arrive final destination mt doom place destroy,Adventure
54,Escape Plan: The Extractors,security expert ray breslin hire rescue kidnap daughter hong kong tech mogul formidable latvian prison breslin girlfriend also capture team must pull deadly rescue mission confront sadistic foe save hostages time run,Action
55,Catarina and the others,outside first sun ray break dawn sixteen years old catarina fall asleep inconsequently big city adults move desire catarina find hiv positive want drag everyone else along,Drama
56,The Secret Life of Pets 2,happen pet home movie continue original movie max friends,Adventure
57,Ralph Breaks the Internet,video game bad guy ralph fellow misfit vanellope von schweetz must risk travel world wide web search replacement part save vanellope video game sugar rush way head ralph vanellope rely citizens internet netizens help navigate way include entrepreneur name yesss head algorithm heart soul trend make site buzzztube,Family
58,Mortal Engines,many thousands years future earth cities roam globe huge wheel devour struggle ever diminish resources one massive traction cities old london tom natsworthy unexpected encounter mysterious young woman wastelands change course life forever,Adventure
59,Anna,beneath anna poliatova strike beauty lie secret unleash indelible strength skill become one world fear government assassins,Thriller
60,Thor: Ragnarok,thor imprison side universe find race time get back asgard stop ragnarok destruction home world end asgardian civilization hand powerful new threat ruthless hela,Action
61,The Lion King,simba idolise father king mufasa take heart royal destiny everyone kingdom celebrate new cub arrival scar mufasa brotherend former heir throne plan battle pride rock ravage betrayal tragedy drama ultimately result simba exile help curious pair newfound friends simba figure grow take back rightfully,Adventure
62,City Hunter,nicky larson task recover perfume cupid perfume would make anyone use irresistible,Adventure
63,Cinderella,father unexpectedly pass away young ella find mercy cruel stepmother daughters never one give hope ella fortunes begin change meet dash stranger woods,Romance
64,Guardians of the Galaxy Vol. 2,guardians must fight keep newfound family together unravel mysteries peter quill true parentage,Action
65,The Hunger Games: Mockingjay - Part 1,katniss everdeen reluctantly become symbol mass rebellion autocratic capitol,Science Fiction
66,Harry Potter and the Philosopher's Stone,harry potter live stairs aunt uncle house whole life birthday learn powerful wizard place wait hogwarts school witchcraft wizardry learn harness newfound power help school kindly headmaster harry uncover truth parent deaths villain blame,Adventure
67,Logan,near future weary logan care ail professor hideout mexican border logan attempt hide world legacy upend young mutant arrive pursue dark force,Action
68,Twilight,bella swan move small town pacific northwest live father meet reclusive edward cullen mysterious classmate reveal year old vampire despite edward repeat caution bella help fall love fatal move endanger life coven bloodsuckers try challenge cullen clan,Fantasy
69,Reservoir Dogs,botch robbery indicate police informant pressure mount aftermath warehouse crime beget violence survivors veteran mr white newcomer mr orange psychopathic parolee mr blonde bicker weasel mr pink nice guy eddie unravel,Crime
70,Toy Story,lead woody andy toy live happily room andy birthday bring buzz lightyear onto scene afraid lose place andy heart woody plot buzz circumstances separate buzz woody owner duo eventually learn put aside differences,Adventure
71,Vice,george bush pick dick cheney ceo halliburton co republican run mate presidential election stranger politics cheney impressive resume include stint white house chief staff house minority whip defense secretary bush win narrow margin cheney begin use newfound power help reshape country world,Drama
72,Captain America: Civil War,follow events age ultron collective governments world pass act design regulate superhuman activity polarize opinion amongst avengers cause two factions side iron man captain america cause epic battle former ally,Adventure
73,Trainspotting,mark renton deeply immerse edinburgh drug scene try clean get despite allure drug influence friends,Drama
74,Creed II,personal obligations train next big fight opponent tie family past adonis creed challenge life,Drama
75,Cold Pursuit,quiet family life nels coxman snowplow driver upend son murder nels begin vengeful hunt viking drug lord hold responsible kill eliminate viking associate one one nels draw closer viking action bring even unexpected violent consequences prove revenge execution,Action
76,Rocketman,story elton john life years prodigy royal academy music influential endure musical partnership bernie taupin,Music
77,Whiplash,direction ruthless instructor talented young drummer begin pursue perfection cost even humanity,Drama
78,The Purge: Anarchy,one night per year government sanction hour period citizens commit crime wish include murder without fear punishment imprisonment leo sergeant lose son plan vigilante mission revenge mayhem however instead death deal avenger become unexpected protector four innocent strangers desperately need help survive night,Horror
79,Five Feet Apart,seventeen year old stella spend time hospital cystic fibrosis patient life full routines boundaries self control get put test meet impossibly charm teen illness instant flirtation though restrictions dictate must maintain safe distance connection intensify temptation throw rule window embrace attraction,Romance
80,John Wick: Chapter 2,john wick force retirement former associate look seize control shadowy international assassins guild bind blood oath aid wick travel rome battle world dangerous killers,Thriller
81,The Dark Knight,batman raise stake war crime help lt jim gordon district attorney harvey dent batman set dismantle remain criminal organizations plague streets partnership prove effective soon find prey reign chaos unleash rise criminal mastermind know terrify citizens gotham joker,Drama
82,Harry Potter and the Chamber of Secrets,ignore threats life harry return hogwarts investigate aid ron hermione mysterious series attack,Adventure
83,Interstellar,interstellar chronicle adventure group explorers make use newly discover wormhole surpass limitations human space travel conquer vast distance involve interstellar voyage,Adventure
84,Zootopia,determine prove officer judy hopps first bunny zootopia police force jump chance crack first case even mean partner scam artist fox nick wilde solve mystery,Animation
85,Fantastic Beasts and Where to Find Them,newt scamander arrive magical congress unite state america magically expand briefcase house number dangerous creatures habitats creatures escape briefcase send american wizarding authorities newt threaten strain even state magical non magical relations,Adventure
86,Solo: A Star Wars Story,series dare escapades deep within dark dangerous criminal underworld han solo meet mighty future copilot chewbacca encounter notorious gambler lando calrissian,Action
87,Green Book,tony lip bouncer hire drive pianist shirley tour deep south days african americans force find alternate accommodations service due segregation laws mason dixon line rely guide call negro motorist green book,Drama
88,Big Hero 6,special bond develop plus size inflatable robot baymax prodigy hiro hamada team group friends form band high tech heroes,Adventure
89,Avengers: Age of Ultron,tony stark try jumpstart dormant peacekeeping program things go awry earth mightiest heroes put ultimate test fate planet hang balance villainous ultron emerge avengers stop enact terrible plan soon uneasy alliances unexpected action pave way epic unique global adventure,Action
90,Love Affair,husband find alright care want day ga hee appear front seong min bore run book store retire ga hee run ballet school good term husband lead seong min fall madly love together know together make everything even better later love reach point destruction,Drama
91,Star Wars,princess leia capture hold hostage evil imperial force effort take galactic empire venturesome luke skywalker dash captain han solo team together loveable robot duo rescue beautiful princess restore peace justice empire,Adventure
92,Doctor Strange,career destroy brilliant arrogant surgeon get new lease life sorcerer take wing train defend world evil,Action
93,Romulus & Remus: The First King,two brothers romulus remus rely survive hostile world city rome one greatest empires history bear deeds bloody battle,History
94,Wonder Woman,amazon princess come world man grip first world war confront force evil bring end human conflict,Action
95,The Matrix,set century matrix tell story computer hacker join group underground insurgents fight vast powerful computers rule earth,Action
96,The Lord of the Rings: The Return of the King,aragorn reveal heir ancient kings gandalf members break fellowship struggle save gondor sauron force meanwhile frodo sam bring ring closer heart mordor dark lord realm,Adventure
97,Ip Man 4,ip man upcoming hong kong biographical martial arts film direct wilson yip produce raymond wong fourth ip man film series base life wing chun grandmaster name feature donnie yen reprise role film begin production april end july year,Action
98,Avatar,century paraplegic marine dispatch moon pandora unique mission become tear follow order protect alien civilization,Action
99,Inception,cobb skilled thief commit corporate espionage infiltrate subconscious target offer chance regain old life payment task consider impossible inception implantation another person idea target subconscious,Action
100,The Maze Runner,set post apocalyptic world young thomas deposit community boys memory erase soon learn trap maze require join force fellow unners shoot escape,Action
101,Mary Poppins Returns,depression era london grow jane michael bank along michael three children visit enigmatic mary poppins follow personal loss unique magical skills aid friend jack help family rediscover joy wonder miss live,Fantasy
102,The Godfather,span years chronicle fictional italian american corleone crime family organize crime family patriarch vito corleone barely survive attempt life youngest son michael step take care would killers launch campaign bloody revenge,Drama
103,Leon: The Professional,leon top hit man new york earn rep effective cleaner next door neighbor wipe loose cannon dea agent become unwilling custodian year old mathilda long mathilda thoughts turn revenge consider follow leon footsteps,Thriller
104,Frozen,young princess anna arendelle dream find true love sister elsa coronation fate take dangerous journey attempt end eternal winter fall kingdom accompany ice delivery man kristoff reindeer sven snowman olaf adventure find friendship courage family true love really mean,Animation
105,Justice League,fuel restore faith humanity inspire superman selfless act bruce wayne diana prince assemble team metahumans consist barry allen arthur curry victor stone face catastrophic threat steppenwolf parademons hunt three mother box earth,Action
106,Men in Black,police chase otherworldly new york city cop recruit agent top secret organization establish monitor police alien activity earth men black agent kay new recruit agent jay find middle deadly plot intergalactic terrorist arrive earth assassinate two ambassadors oppose galaxies,Action
107,Deadpool,deadpool tell origin story former special force operative turn mercenary wade wilson subject rogue experiment leave accelerate heal power adopt alter ego deadpool arm new abilities dark twist sense humor deadpool hunt man nearly destroy life,Action
108,Blade Runner 2049,thirty years events first film new blade runner lapd officer unearth long bury secret potential plunge leave society chaos discovery lead quest find rick deckard former lapd blade runner miss years,Science Fiction
109,The Nun,young nun cloister abbey romania take life priest haunt past novitiate threshold final vow send vatican investigate together uncover order unholy secret risk live faith souls confront malevolent force form demonic nun first terrorize audiences conjure abbey become horrific battleground live damn,Horror
110,Bird Box,five years ominous unseen presence drive society suicide survivor two children make desperate bid reach safety,Thriller
111,Midsommar,young couple travel sweden visit friend rural hometown attend mid summer festival begin idyllic retreat quickly descend increasingly violent bizarre competition hand pagan cult,Horror
112,Toy Story 3,woody buzz rest andy toy play years andy go college gang find accidentally leave nefarious day care center toy must band together escape return home andy,Animation
113,Inside Out,grow bumpy road exception riley uproot midwest life father start new job san francisco like us riley guide emotions joy fear anger disgust sadness emotions live headquarter control center inside riley mind help advise everyday life riley emotions struggle adjust new life san francisco turmoil ensue headquarter although joy riley main important emotion try keep things positive emotions conflict best navigate new city house school,Drama
114,Fight Club,tick time bomb insomniac slippery soap salesman channel primal male aggression shock new form therapy concept catch underground fight club form every town eccentric get way ignite control spiral toward oblivion,Drama
115,The Hopeful Romantic,jess bellboy work manila hotel gift expense pay stay hotel expensive suite stay encounter veronica professional golddigger jess keep illusion rich guest hotel hop get veronica fall love tell truth,Comedy
116,Hunter Killer,captain glass uss arkansas discover coup etat take place russia crew join elite group work grind prevent war,Action
117,Ready Player One,creator popular video game system die virtual contest create compete fortune,Adventure
118,Incredibles 2,elastigirl spring action save day mr incredible face greatest challenge yet take care problems three children,Action
119,Girls und Panzer das Finale: Part II,part final chapter girls und panzer series,Action
120,The Fate of the Furious,mysterious woman seduce dom world crime betrayal closest crew face trials test never,Action
121,Finding Nemo,nemo adventurous young clownfish unexpectedly take great barrier reef home dentist office aquarium worrisome father marlin friendly forgetful fish dory bring nemo home meet vegetarian shark surfer dude turtle hypnotic jellyfish hungry seagulls along way,Animation
122,The Lego Movie 2: The Second Part,five years since everything awesome citizens face huge new threat lego invaders outer space wreck everything faster rebuild,Action
123,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow work way blood debt ghostly davey jones also attempt avoid eternal damnation,Adventure
124,Annabelle: Creation,several years tragic death little girl doll maker wife welcome nun several girls shutter orphanage home soon become target doll maker possess creation,Horror
125,The Mule,earl stone man break alone face foreclosure business offer job simply require drive easy enough unbeknownst earl sign drug courier mexican cartel well cargo increase exponentially earl hit radar hard charge dea agent colin bat,Crime
126,Spectre,cryptic message bond past send trail uncover sinister organization battle political force keep secret service alive bond peel back layer deceit reveal terrible truth behind spectre,Action
127,I Am Mother,teenage girl raise underground robot mother design repopulate earth follow extinction event unique bond threaten inexplicable stranger arrive alarm news,Thriller
128,Pulp Fiction,burger love hit man philosophical partner drug addle gangster moll wash boxer converge sprawl comedic crime caper adventure unfurl three stories ingeniously trip back forth time,Thriller
129,Man of Steel,young boy learn extraordinary power earth young man journey discover come send hero must emerge save world annihilation become symbol hope mankind,Action
130,Goosebumps,move small town zach cooper find silver line meet next door neighbor hannah daughter bestselling goosebumps series author stine zach unintentionally unleash real monsters manuscripts begin terrorize town suddenly stine zach hannah get back book belong,Adventure
131,The Lord of the Rings: The Two Towers,frodo sam trek mordor destroy one ring power gimli legolas aragorn search orc capture merry pippin along nefarious wizard saruman await fellowship members orthanc tower isengard,Adventure
132,Spirited Away,young girl chihiro become trap strange new world spirit parent undergo mysterious transformation must call upon courage never know free family,Animation
133,Iron Man,hold captive afghan cave billionaire engineer tony stark create unique weaponize suit armor fight evil,Action
134,Alien,return earth commercial spaceship nostromo intercept distress signal distant planet three member team crew discover chamber contain thousands egg planet creature inside one egg attack explorer entire crew unaware impend nightmare set descend upon alien parasite plant inside unfortunate host birth,Horror
135,Toy Story 2,andy head cowboy camp leave toy devices things shift high gear obsessive toy collector name al mcwhiggen owner al toy barn kidnap woody andy toy mount dare rescue mission buzz lightyear meet match woody decide heart truly belong,Animation
136,Fury,last months world war ii ally make final push european theatre battle harden army sergeant name wardaddy command sherman tank call fury five man crew deadly mission behind enemy line outnumber outgunned wardaddy men face overwhelm odds heroic attempt strike heart nazi germany,War
137,Star Wars: The Last Jedi,rey develop newly discover abilities guidance luke skywalker unsettle strength power meanwhile resistance prepare battle first order,Fantasy
138,Batman v Superman: Dawn of Justice,fear action god like super hero leave unchecked gotham city formidable forceful vigilante take metropolis revere modern day savior world wrestle sort hero really need batman superman war one another new threat quickly arise put mankind greater danger ever know,Action
139,Ma,sue ann loner keep quiet ohio town one day ask maggie new teenager town buy booze friends sue ann see chance make unsuspecting younger friends,Thriller
140,The Equalizer,mccall believe put mysterious past behind dedicate begin new quiet life meet teri young girl control ultra violent russian gangsters stand idly help arm hide skills allow serve vengeance anyone would brutalize helpless mccall come self impose retirement find desire justice reawaken someone problem odds stack nowhere else turn mccall help equalizer,Thriller
141,My Neighbor Totoro,two sisters move country father order closer hospitalize mother discover surround tree inhabit totoros magical spirit forest youngest run away home older sister seek help spirit find,Fantasy
142,Beauty and the Beast,live action adaptation disney version classic tale curse prince beautiful young woman help break spell,Family
143,The Professor,richard world weary college professor give life change diagnosis decide throw pretense conventions wind live life boldly freely possible bite sense humor reckless streak touch madness,Comedy
144,The Shawshank Redemption,frame double murder wife lover upstanding banker andy dufresne begin new life shawshank prison put account skills work amoral warden long stretch prison dufresne come admire inmates include older prisoner name red integrity unquenchable sense hope,Drama
145,Master Z: Ip Man Legacy,defeat ip man cheung tin chi attempt keep low profile go business get fight foreigner name davidson big boss behind bar district tin chi fight hard wing chun earn respect,Action
146,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow cross paths woman past sure love ruthless con artist use find fabled fountain youth force aboard queen anne revenge ship formidable pirate blackbeard jack find unexpected adventure know fear blackbeard woman past,Adventure
147,Thor,father odin mighty thor powerful arrogant warrior god recklessly reignite ancient war thor cast earth force live among humans punishment thor learn take true hero dangerous villain world send darkest force asgard invade earth,Adventure
148,The Meg,deep sea submersible pilot revisit past fear mariana trench accidentally unleash seventy foot ancestor great white shark believe extinct,Action
149,Hereditary,ellen matriarch graham family pass away daughter family begin unravel cryptic increasingly terrify secrets ancestry,Horror
150,Kong: Skull Island,explore mysterious dangerous home king ape team explorers venture deep inside treacherous primordial island,Action
151,Batman Begins,drive tragedy billionaire bruce wayne dedicate life uncover defeat corruption plague home gotham city unable work within system instead create new identity symbol fear criminal underworld batman,Action
152,Annabelle,john form find perfect gift expectant wife mia beautiful rare vintage doll pure white wed dress mia delight annabelle last long one horrific night home invade members satanic cult violently attack couple spill blood terror leave behind cultists conjure entity malevolent nothing compare sinister conduit damn annabelle,Horror
153,Lupinranger VS Patranger VS Kyuranger,lupinranger vs patranger vs kyuranger upcoming cinext film kaitou sentai lupinranger vs keisatsu sentai patranger uchu sentai kyuranger story begin lupinrangers kairi touma umika kidnap someone mysterious patrangers task abduction case find miss thieve run kyuranger team pass space exactly kidnap kyurangers return space,Action
154,Thor: The Dark World,thor fight restore order across cosmos ancient race lead vengeful malekith return plunge universe back darkness face enemy even odin asgard cannot withstand thor must embark perilous personal journey yet one reunite jane foster force sacrifice everything save us,Action
155,A Quiet Place,family force live silence hide creatures hunt sound,Horror
156,Byomkesh Gotro,convince life jeopardy satyakam son business magnate hail mussoorie approach byomkesh plea help legendary detective soon head mussoorie find youngsters worst fear come true byomkesh unravel mystery shroud satyakam murder late,Mystery
157,First Man,look life astronaut neil armstrong legendary space mission lead become first man walk moon july,History
158,The Amazing Spider-Man,peter parker outcast high schooler abandon parent boy leave raise uncle ben aunt may like teenagers peter try figure get person today peter discover mysterious briefcase belong father begin quest understand parent disappearance lead directly oscorp lab dr curt connors father former partner spider man set collision course connors alter ego lizard peter make life alter choices use power shape destiny become hero,Action
159,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",siblings lucy edmund susan peter step magical wardrobe find land narnia discover charm peaceful kingdom plunge eternal winter evil white witch jadis aid wise magnificent lion aslan children lead narnia spectacular climactic battle free witch glacial power forever,Adventure
160,Ocean's Eight,debbie ocean criminal mastermind gather crew female thieve pull heist century new york annual meet gala,Crime
161,Forrest Gump,man low iq accomplish great things life present significant historic events case far exceed anyone imagine could despite achieve one true love elude,Comedy
162,Arrival,take place alien craft land around world expert linguist recruit military determine whether come peace threat,Drama
163,Parasite,unemployed ki taek family take peculiar interest wealthy glamorous park livelihood get entangle unexpected incident,Horror
164,GoldenEye,jam bond must unmask mysterious head janus syndicate prevent leader utilize goldeneye weapons system inflict devastate revenge britain,Adventure
165,Harry Potter and the Deathly Hallows: Part 2,harry ron hermione continue quest vanquish evil voldemort things begin look hopeless young wizards harry discover trio magical object endow power rival voldemort formidable skills,Family
166,The Lion King,young lion cub name simba wait king uncle crave title stop nothing get,Adventure
167,Pacific Rim: Uprising,ten years since battle breach oceans still restless vindicate victory breach jaeger program evolve powerful global defense force human history ppdc call upon best brightest rise become next generation heroes kaiju threat return,Action
168,Brave,brave set mystical scottish highlands merida princess kingdom rule king fergus queen elinor unruly daughter accomplish archer merida one day defy sacred custom land inadvertently bring turmoil kingdom attempt set things right merida seek eccentric old wise woman grant ill fat wish also figure merida quest serve comic relief kingdom three lord enormous lord macguffin surly lord macintosh disagreeable lord dingwall,Animation
169,The Terminator,post apocalyptic future reign tyrannical supercomputers teleport cyborg assassin know terminator back kill sarah connor whose unborn son destine lead insurgents century mechanical hegemony meanwhile human resistance movement dispatch lone warrior safeguard sarah stop virtually indestructible kill machine,Action
170,The Purge,give country overcrowd prisons government begin allow hour periods time illegal activity legal one free alls family must protect home invasion,Science Fiction
171,Fighting with My Family,bear tight knit wrestle family paige brother zak ecstatic get lifetime opportunity try wwe paige earn spot competitive train program must leave love ones behind face new cutthroat world alone paige journey push dig deep ultimately prove world make different thing make star,Comedy
172,To All the Boys I've Loved Before,lara jean love life go imaginary control secret letter every boy ever fall mysteriously mail,Comedy
173,Despicable Me 2,gru recruit anti villain league help deal powerful new super criminal,Animation
174,The Mask,timid bank clerk stanley ipkiss discover magical mask contain spirit norse god loki entire life change wear mask ipkiss become supernatural playboy exude charm confidence allow catch eye local nightclub singer tina carlyle unfortunately mask influence ipkiss also rob bank anger junior crime lord dorian tyrell whose goons get blame heist,Romance
175,Dunkirk,story miraculous evacuation ally soldier belgium britain canada france cut surround german army beach harbour dunkirk may june world war ii,War
176,Iron Man 3,tony stark world tear apart formidable terrorist call mandarin start odyssey rebuild retribution,Action
177,Adventures of Aladdin,help magical lamp impoverish young man transform prince order win heart beautiful princess live action retell disney film name,Adventure
178,Hellboy,hellboy come england must defeat nimue merlin consort blood queen battle bring end world fate desperately try turn away,Action
179,Halloween,laurie stride come final confrontation michael myers mask figure haunt since narrowly escape kill spree halloween night four decades ago,Thriller
180,Nightcrawler,lou bloom desperate work muscle world crime journalism blur line observer participant become star story aid effort nina tv news veteran,Crime
181,Men in Black II,kay jay reunite provide best last line defense sinister seductress level toughest challenge yet mib untarnished mission statement protect earth scum universe four years since alien seek agents avert intergalactic disaster epic proportion race clock jay must convince kay absolutely memory time spend mib also live person leave expertise save galaxy reunite mib earth submit ultimate destruction,Action
182,X-Men: Apocalypse,emergence world first mutant world destroyer apocalypse men must unite defeat extinction level plan,Action
183,Blade Runner,smog choke dystopian los angeles blade runner rick deckard call retirement terminate quartet replicants escape earth seek creator way extend short life span,Science Fiction
184,The Greatest Showman,story american showman barnum founder circus become famous travel ringling bros barnum bailey circus,Drama
185,The Fifth Element,taxi driver unintentionally give task save young girl part key ensure survival humanity,Adventure
186,Doraemon: Nobita's Chronicle of the Moon Exploration,nobita getsumen tansaki original story center around isetsu club member badge gadget feature volume original doraemon manga,Animation
